pub_date	title	venue	excerpt	citation	url_slug	paper_url
2020-01-01	Deep learning-based quantification of pulmonary hemosiderophages in cytology slides	Scientific Reports 10 (1), 9795		C Marzahl, M Aubreville, CA Bertram, J Stayt, AK Jasensky, .... (2020). "Deep learning-based quantification of pulmonary hemosiderophages in cytology slides." <i>Scientific Reports 10 (1), 9795</i>.	deep-learning-based-quantification-of-pulmonary-hemosiderophages-in-cytology-slides	https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tEe1-TYAAAAJ&citation_for_view=tEe1-TYAAAAJ:u-x6o8ySG0sC
2019-01-01	Recognizing Characters in Art History Using Deep Learning	Proceedings of the 1st Workshop on Structuring and Understanding of  …		P Madhu, R Kosti, L Mührenberg, P Bell, A Maier, V Christlein. (2019). "Recognizing Characters in Art History Using Deep Learning." <i>Proceedings of the 1st Workshop on Structuring and Understanding of  …</i>.	recognizing-characters-in-art-history-using-deep-learning	https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tEe1-TYAAAAJ&citation_for_view=tEe1-TYAAAAJ:d1gkVwhDpl0C
2022-01-01	Enhancing human pose estimation in ancient vase paintings via perceptually-grounded style transfer learning	ACM Journal on Computing and Cultural Heritage 16 (1), 1-17		P Madhu, A Villar-Corrales, R Kosti, T Bendschus, C Reinhardt, P Bell, .... (2022). "Enhancing human pose estimation in ancient vase paintings via perceptually-grounded style transfer learning." <i>ACM Journal on Computing and Cultural Heritage 16 (1), 1-17</i>.	enhancing-human-pose-estimation-in-ancient-vase-paintings-via-perceptually-grounded-style-transfer-learning	https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tEe1-TYAAAAJ&citation_for_view=tEe1-TYAAAAJ:Tyk-4Ss8FVUC
2020-01-01	Understanding Compositional Structures in Art Historical Images Using Pose and Gaze Priors: Towards Scene Understanding in Digital Art History	European Conference on Computer Vision, 109-125		P Madhu, T Marquart, R Kosti, P Bell, A Maier, V Christlein. (2020). "Understanding Compositional Structures in Art Historical Images Using Pose and Gaze Priors: Towards Scene Understanding in Digital Art History." <i>European Conference on Computer Vision, 109-125</i>.	understanding-compositional-structures-in-art-historical-images-using-pose-and-gaze-priors-towards-scene-understanding-in-digital-art-history	https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tEe1-TYAAAAJ&citation_for_view=tEe1-TYAAAAJ:qjMakFHDy7sC
2022-01-01	ODOR: The ICPR2022 ODeuropa Challenge on Olfactory Object Recognition	2022 26th International Conference on Pattern Recognition (ICPR), 4989-4994		M Zinnen, P Madhu, R Kosti, P Bell, A Maier, V Christlein. (2022). "ODOR: The ICPR2022 ODeuropa Challenge on Olfactory Object Recognition." <i>2022 26th International Conference on Pattern Recognition (ICPR), 4989-4994</i>.	odor-the-icpr2022-odeuropa-challenge-on-olfactory-object-recognition	https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tEe1-TYAAAAJ&citation_for_view=tEe1-TYAAAAJ:UebtZRa9Y70C
2022-01-01	One-Shot Object Detection in Heterogeneous Artwork Datasets	2022 Eleventh International Conference on Image Processing Theory, Tools and  …		P Madhu, A Meyer, M Zinnen, L Mührenberg, D Suckow, T Bendschus, .... (2022). "One-Shot Object Detection in Heterogeneous Artwork Datasets." <i>2022 Eleventh International Conference on Image Processing Theory, Tools and  …</i>.	one-shot-object-detection-in-heterogeneous-artwork-datasets	https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tEe1-TYAAAAJ&citation_for_view=tEe1-TYAAAAJ:ufrVoPGSRksC
2023-01-01	SniffyArt: The Dataset of Smelling Persons	Proceedings of the 5th Workshop on analySis, Understanding and proMotion of  …		M Zinnen, A Hussian, H Tran, P Madhu, A Maier, V Christlein. (2023). "SniffyArt: The Dataset of Smelling Persons." <i>Proceedings of the 5th Workshop on analySis, Understanding and proMotion of  …</i>.	sniffyart-the-dataset-of-smelling-persons	https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tEe1-TYAAAAJ&citation_for_view=tEe1-TYAAAAJ:MXK_kJrjxJIC
2023-01-01	ICC++: Explainable feature learning for art history using image compositions	Pattern Recognition 136, 109153		P Madhu, T Marquart, R Kosti, D Suckow, P Bell, A Maier, V Christlein. (2023). "ICC++: Explainable feature learning for art history using image compositions." <i>Pattern Recognition 136, 109153</i>.	icc-explainable-feature-learning-for-art-history-using-image-compositions	https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tEe1-TYAAAAJ&citation_for_view=tEe1-TYAAAAJ:Se3iqnhoufwC
2022-01-01	ARIN: Adaptive Resampling and Instance Normalization for Robust Blind Inpainting of Dunhuang Cave Paintings	2022 Eleventh International Conference on Image Processing Theory, Tools and  …		A Schmidt, P Madhu, A Maier, V Christlein, R Kosti. (2022). "ARIN: Adaptive Resampling and Instance Normalization for Robust Blind Inpainting of Dunhuang Cave Paintings." <i>2022 Eleventh International Conference on Image Processing Theory, Tools and  …</i>.	arin-adaptive-resampling-and-instance-normalization-for-robust-blind-inpainting-of-dunhuang-cave-paintings	https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tEe1-TYAAAAJ&citation_for_view=tEe1-TYAAAAJ:WF5omc3nYNoC
2022-01-01	Effect of Random Histogram Equalization on Breast Calcification Analysis Using Deep Learning	Bildverarbeitung für die Medizin 2022: Proceedings, German Workshop on  …		AB Panambur, P Madhu, A Maier. (2022). "Effect of Random Histogram Equalization on Breast Calcification Analysis Using Deep Learning." <i>Bildverarbeitung für die Medizin 2022: Proceedings, German Workshop on  …</i>.	effect-of-random-histogram-equalization-on-breast-calcification-analysis-using-deep-learning	https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tEe1-TYAAAAJ&citation_for_view=tEe1-TYAAAAJ:YsMSGLbcyi4C
2024-01-01	Smelly, dense, and spreaded: The Object Detection for Olfactory References (ODOR) dataset	Expert Systems with Applications 255, 124576		M Zinnen, P Madhu, I Leemans, P Bell, A Hussian, H Tran, A Hürriyetoğlu, .... (2024). "Smelly, dense, and spreaded: The Object Detection for Olfactory References (ODOR) dataset." <i>Expert Systems with Applications 255, 124576</i>.	smelly-dense-and-spreaded-the-object-detection-for-olfactory-references-odor-dataset	https://scholar.google.com/citations?view_op=view_citation&hl=en&user=tEe1-TYAAAAJ&citation_for_view=tEe1-TYAAAAJ:KlAtU1dfN6UC
